symbol,created_at,body,followers,sentiment,raw_compound,compound_bin,sentiment_number,modified_rating,modified?
INTC,2021-02-27T02:24:50Z,$INTC be honest guys... y&#39;all think Intel better buy than AMD if we talking about a 12months race?! I&#39;m AMD simp I feel like if I invest in Intel it&#39;s worse than cheating on my wife,0,None,0.3164,1.0,0.0,0,No
INTC,2021-02-27T00:29:37Z,$INTC Intel is about to release their own GPU very soon. Perfect timing while $NVDA $AMD are having supply issue.,160,Bullish,0.6096,1.0,1.0,0,No
INTC,2021-02-26T21:47:50Z,$INTC Curving down to my line  again. lol.,4156,None,0.4215,1.0,0.0,0,No
INTC,2021-02-26T21:01:49Z,$INTC Huge Trade - $498 917 553.8 208 581 shares at $60.78,862,None,0.5423,1.0,0.0,0,No
INTC,2021-02-26T21:01:12Z,$INTC Huge Trade - $59 564 400.980 000 shares at $60.78,862,None,0.5423,1.0,0.0,0,No
INTC,2021-02-26T15:09:29Z,$INTC...Trading in Intel doesn&#39;t make much sense today.,12,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-26T14:53:56Z,$INTC unfucking real!!!,12,None,0.0,0.0,0.0,0,No
INTC,2021-02-26T14:30:56Z,While yesterday’s market action looks ominous  I would like to remind people that the federal government will approve another 1.9 billion of stimulus  more than $2.5B in 2 months.  The fed will continue to buy treasuries and for that reason you should not care about the 10 year note.  Much of this stimulus will end up back in the market.  The smartmoney have this completely wrong.  ..Despite the huge drop yesterday  I am still up 36% in 2021.  If you can afford to  take advantage of the sales.  Here are my main holdings and the performance since 4th qtr. 2020; not including INTC. ..Buy the fear!..SBH 66.6%.$PRTY 187.7%.$PERI 184.2%.AOSL 163.7%.ACLS 66.2%.$PRPL 44.0%.$FNF 23.3%.$INTC 23.9%,189,Bullish,-0.4789,-1.0,1.0,0,No
INTC,2021-02-26T14:00:49Z,Right now $AMD is the cheapest it has been in over 4 years  but the company is at its peak fundamentally. It has never been this strong and it will only grown from here...If you sell your shares  you must be out of your mind  or you are just not meant to be trading. If you question whether to buy AMD or not  you are just as crazy...$INTC $NVDA,134,Bullish,0.8447,1.0,1.0,0,No
INTC,2021-02-26T12:30:46Z,$INTC....Both Dell and HPQ reported stellar earnings and guidance.  Both a big Intel Customers.,12,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-26T12:11:14Z,$INTC alert Rocket lake is price very high that is not good for EOL product,0,Bearish,-0.0531,0.0,-1.0,0,No
INTC,2021-02-26T11:34:44Z,$INTC leave this sinking ship many high profile executives are leaving Intel we are going to see layoff is restructuring these delay everything. Some Intel already went back to AMD,0,Bearish,-0.3612,-1.0,-1.0,0,No
INTC,2021-02-26T11:32:41Z,$INTC  Trading is easy with Buy and Short signals in real time.,164,None,0.4404,1.0,0.0,0,No
INTC,2021-02-26T09:47:10Z,$INTC Kevin Thomas Mcbride sold 524 shares [Very Low Conviction] www.insider-analysis.com/search_transactions.php?ticker=TABLE_INTC,1798,None,0.0258,0.0,0.0,0,No
INTC,2021-02-26T06:57:57Z, $INTC .Result: .The price touched my TP target ( Winning 😃 ) #deal_closed .,11,None,0.5267,1.0,0.0,0,No
INTC,2021-02-26T02:11:07Z,$INTC Added more,64,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-26T01:57:13Z,$INTC this and a larger common position were most likely the same play with full hedge,1583,None,0.34,1.0,0.0,0,No
INTC,2021-02-26T01:22:41Z,$INTC ..After 3 really good days in my portfolio  a sea of red is all I get today! ..Momma said there would be days like this......,3,Bullish,0.7171,1.0,1.0,0,No
INTC,2021-02-25T23:42:51Z,$NVDA $AZKLF AI on the Edge!!! . .Will $INTC buy them out first??? . .Cathie de $tsla $arkk canidate!!!???!!!,254,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T22:51:57Z,$INTC added,261,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T22:50:06Z,$INTC....If you loved it at $62   you must be giddy about sub $60.  I just bought back my first position AH&#39;s  2500 shares at $59.80.  Intel and other chip makers can&#39;t keep up with demand   they are running full tilt.,12,Bullish,0.6124,1.0,1.0,0,No
INTC,2021-02-25T22:31:05Z,$INTC intel will never reach $65 its best shorting stock,0,Bearish,0.6281,1.0,-1.0,0,No
INTC,2021-02-25T20:09:25Z,$HPQ 3 mil bought 2 mins ago. Interesting after the halt .$spy $INTC $UVXY,24,Bullish,0.4019,1.0,1.0,0,No
INTC,2021-02-25T20:00:56Z,$HPQ amazing beat $spy $NVDA $INTC,24,Bullish,0.5859,1.0,1.0,0,No
INTC,2021-02-25T19:49:24Z,$HPQ halted for news pending omg.$spy $NVDA $INTC,24,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T18:56:24Z,$INTC hey 59! will see you soon?,0,Bearish,0.0,0.0,-1.0,0,No
INTC,2021-02-25T18:22:12Z,$INTC can we touch $64 tmmr,14,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T18:20:23Z,$INTC can at least get to $62,12,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T18:12:26Z,$INTC Afternoon bounce inc ?,1,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T17:39:23Z,$INTC one of the few but the dip stocks in this bloated mkt👀,8,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T17:19:59Z,$NVDA $AMD $MU $INTC $SMH .WoW what that’s some BS moves...,211,Bullish,0.5859,1.0,1.0,0,No
INTC,2021-02-25T17:11:20Z,$INTC short float down 0.04% from 1.42% to 1.38%,862,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T17:07:00Z,$INTC every fucking time!!!! Without fail.,12,None,0.6465,1.0,0.0,0,No
INTC,2021-02-25T16:50:39Z,$INTC wow I’m down a lot on intel call 🥲. I hope it’s just the market,14,None,0.7717,1.0,0.0,0,No
INTC,2021-02-25T15:32:46Z,$INTC is this bad news or today is just a red day,14,None,-0.628,-1.0,0.0,0,No
INTC,2021-02-25T15:16:49Z,$INTC this is going to $70  holding!,64,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T15:08:30Z,$INTC is this gonna print  I bought high,14,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T14:47:01Z,$INTC silently grinding higher  even through red days. Higher lows,34,Bullish,-0.2023,-1.0,1.0,0,No
INTC,2021-02-25T14:41:21Z,$INTC 52 week high before close tomorrow?,2,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T14:36:44Z,$INTC there he goes again on cnbc squak box-&quot;jimmy chu&quot; the clown bashing intc ... he knows nothing,13,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T02:57:15Z,$NNDM nano can do COMPLEX.MULTILAYER.PCB.(50 LAYERS)   50 layers  this is just insane.   $amd $nvda $intc,810,Bullish,-0.4019,-1.0,1.0,0,No
INTC,2021-02-25T02:54:37Z,$nndm lets gooo..Nano Dimension bridges the gap between PCB and semiconductor Integrated Circuits..$amd $intc $nvda,810,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T02:50:48Z,$QQQ $UVXY $INTC $SPX $SPY,0,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T02:28:13Z,@Juilliann you don&#39;t have even to wait for merger with $INTC  or $MSFT !!,1,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T02:07:46Z,@xxxfactor $INTC profit is twice the sales of AMD. Their profit! AMD will never surpass them EVER. Having said that... there’s plenty of space for all. INTC should be at $200 based on AMD’s valuation,38,Bullish,0.7263,1.0,1.0,0,No
INTC,2021-02-25T02:01:57Z,$INTC Did the Executive order came after market close?,26,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T01:58:12Z,$INTC,26,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T01:57:48Z,$INTC has been very good for me,26,Bullish,0.4927,1.0,1.0,0,No
INTC,2021-02-25T01:13:09Z,$INTC Daniel Loeb knows how to maneuver.,6,None,0.0,0.0,0.0,0,No
INTC,2021-02-25T00:45:52Z,$INTC 68 soon,46,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-25T00:23:02Z,$INTC why is this stock being bought in giant volumes at 4pm everyday for the last 3-4 months? last time I checked  they were buying their own stocks. totaling a $15 billion if I remember right. it should be complete by now  isn&#39;t it? why is it still being bought constantly? anyone has any input on this? thanks &amp; much appreciated. GL!,24,Bullish,0.8992,1.0,1.0,0,No
INTC,2021-02-24T22:54:00Z,$INTC or not? Lol what happen,15,None,-0.3252,-1.0,0.0,0,No
INTC,2021-02-24T22:35:58Z,$INTC I&#39;m in!!,1,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-24T22:17:25Z,$INTC time to relax and digest more chips guys!,21,Bullish,0.4926,1.0,1.0,0,No
INTC,2021-02-24T21:58:35Z,$INTC let’s go weeeee,15,None,0.0,0.0,0.0,0,No
INTC,2021-02-24T21:51:09Z,$INTC flexing the guns today!  Yeah baby!,8,Bullish,0.4184,1.0,1.0,0,No
INTC,2021-02-24T21:50:01Z,$INTC $AMD $TSM Dictator Biden signing more executive orders.,73570,None,0.0,0.0,0.0,0,No
INTC,2021-02-24T21:33:07Z,Joby Aviation Lands SPAC Deal To Bring Urban Air Mobility Company Public $RTP $UBER $INTC $TM $JBLU  . .Urban air mobility company Joby Aviation is the latest company in the growing industry going public via a SPAC.,98,Bullish,0.1779,1.0,1.0,0,No
INTC,2021-02-24T15:25:53Z,$INTC what a joke,11,Bearish,0.296,1.0,-1.0,0,No
INTC,2021-02-24T15:24:55Z,$SQ SQUARE JS A CHRAP SQ RUN $baba $tqqq $intc $lyft,12,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-24T15:24:42Z,$AMD Good thing $MU and $INTC are down  I was worried this was just a $AMD thing.. oh wait...,1,None,0.1779,1.0,0.0,0,No
INTC,2021-02-24T15:21:21Z,With the recent shortage in chips and surge in demand  this will only increase the appeal for names like $AMD  $NVDA and $INTC. They are all going to be winners in my book.,108,Bullish,0.6597,1.0,1.0,0,No
INTC,2021-02-24T15:00:39Z,@firelake4 crazy how $BB hasn&#39;t been bought out yet  particularly last year when it was clear they were going to be a tech leader and their share price was even more depressed.  maybe $INTC should buy them to fix their own leaky faucet.,11,Bullish,-0.2944,-1.0,1.0,0,No
INTC,2021-02-24T13:55:06Z,$INTC ..Why did This drop all of a sudden?,3,Bullish,-0.2732,-1.0,1.0,0,No
INTC,2021-02-24T13:41:08Z,$THBR servicing an essential and ever growing market segment. ..They may not be sexy but as $INTC and $AMD can attest  semi conductor chips are a shower of profit. ..BUY and Enjoy  know that your investing at the floor...,14,Bullish,0.823,1.0,1.0,0,No
